,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,Rating,name,referralId,venuePage.id
16,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ef0d81fbe7ba3ed7c2296d2,321 W 44th St,US,New York,United States,btwn 8th & 9th Ave,5328,"['321 W 44th St (btwn 8th & 9th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75904160050783, 'lng': -73.99004327793013}]",40.75904160050783,-73.99004327793013,10036,8.6,Gyu-Kaku Japanese BBQ,v-1592882895,
17,"[{'id': '55a59bace4b013909087cb24', 'name': 'Ramen Restaurant', 'pluralName': 'Ramen Restaurants', 'shortName': 'Ramen', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,55fa0bd4498e3a875e4e34ff,45 Bayard St,US,New York,United States,,799,"['45 Bayard St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.71524803870191, 'lng': -73.9971465386204}]",40.71524803870191,-73.9971465386204,10013,NaN,AA Japanese Ramen,v-1592882895,
18,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f326cc019836c91c7d689dc,265 Canal St,US,New York,United States,,794,"['265 Canal St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.718785, 'lng': -74.001024}]",40.718785,-74.001024,10013,NaN,Koi Japanese Restaurant,v-1592882895,
19,"[{'id': '4bf58dd8d48988d171941735', 'name': 'Event Space', 'pluralName': 'Event Spaces', 'shortName': 'Event Space', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/eventspace_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4be20ec01dd22d7ffa3c93bd,,US,New York,United States,,5215,"['New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75544369348851, 'lng': -73.98061087730353}]",40.75544369348851,-73.98061087730353,10036,,Japanese American Association Of New York,v-1592882895,
20,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",64534,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/tataki-japanese-restaurant-3-lispenard-st-new-york/64534?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=64534,False,4a85b541f964a520fdfe1fe3,3 Lispenard St,US,New York,United States,,880,"['3 Lispenard St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.720596, 'lng': -74.00493}, {'label': 'entrance', 'lat': 40.720581, 'lng': -74.004927}]",40.720596,-74.00493,10013,6.2,Tataki Japanese Restaurant,v-1592882895,
21,"[{'id': '4bf58dd8d48988d1f8941735', 'name': 'Furniture / Home Store', 'pluralName': 'Furniture / Home Stores', 'shortName': 'Furniture / Home', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/furniture_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4a8c4222f964a5207a0d20e3,711 3rd Ave,US,New York,United States,at E 45th St.,5249,"['711 3rd Ave (at E 45th St.)', 'New York, NY 10017', 'United States']","[{'label': 'display', 'lat': 40.752658430165006, 'lng': -73.97291038142438}]",40.752658430165006,-73.97291038142438,10017,,Japanese Culinary Center,v-1592882895,
22,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bba1c4b1261d13a243cea98,10708 70th Rd,US,Forest Hills,United States,btw Austin St & Queens Blvd,13561,"['10708 70th Rd (btw Austin St & Queens Blvd)', 'Forest Hills, NY 11375', 'United States']","[{'label': 'display', 'lat': 40.72079733718884, 'lng': -73.84563896863934}]",40.72079733718884,-73.84563896863934,11375,7.7,Narita Japanese Restaurant,v-1592882895,
23,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",461198,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/atami-japanese-fusion-1167-2nd-ave-new-york/461198?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=461198,False,5006eaf1e4b0d9eeb5cd67ef,1167 2nd Ave,US,New York,United States,,6582,"['1167 2nd Ave', 'New York, NY 10065', 'United States']","[{'label': 'display', 'lat': 40.762158444759486, 'lng': -73.96317393360368}]",40.762158444759486,-73.96317393360368,10065,7.0,Atami Japanese Fusion,v-1592882895,
24,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4c4cf3bd413c4cc6685628,19 S William St,US,New York,United States,,1001,"['19 S William St', 'New York, NY 10004', 'United States']","[{'label': 'display', 'lat': 40.70439529418945, 'lng': -74.010498046875}]",40.70439529418945,-74.010498046875,10004,NaN,Kokura Japanese Restaurant,v-1592882895,
25,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,3fd66200f964a520e0e81ee3,80 Broad St,US,New York,United States,btw West Thames and 3rd St,1053,"['80 Broad St (btw West Thames and 3rd St)', 'New York, NY 10004', 'United States']","[{'label': 'display', 'lat': 40.704249, 'lng': -74.011569}]",40.704249,-74.011569,10004,NaN,Wave Japanese Restaurant,v-1592882895,
26,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",71415,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/osaka-japanese-fusion-2524-broadway-ave-astoria/71415?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=71415,False,4a86ffb1f964a520090220e3,24-25 Broadway,US,Astoria,United States,,8664,"['24-25 Broadway', 'Astoria, NY 11106', 'United States']","[{'label': 'display', 'lat': 40.763054033139525, 'lng': -73.9276589498208}]",40.763054033139525,-73.9276589498208,11106,6.7,Osaka Japanese Restaurant,v-1592882895,
27,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",268954,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/amura-1567-2nd-ave-new-york/268954?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=268954,False,4fb93e46e4b0d0dd7eb666c6,1567 2nd Ave,US,New York,United States,,8199,"['1567 2nd Ave', 'New York, NY 10028', 'United States']","[{'label': 'display', 'lat': 40.77492786445796, 'lng': -73.95393883303005}]",40.77492786445796,-73.95393883303005,10028,8.3,Amura Japanese Cuisine,v-1592882895,
28,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4c82924d51ada1cd3ad01d10,,US,New York,United States,,2282,"['New York, NY 10003', 'United States']","[{'label': 'display', 'lat': 40.72801106, 'lng': -73.9879846572876}]",40.72801106,-73.9879846572876,10003,NaN,Japanese Noodle House,v-1592882895,
29,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",284075,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/raku-ii-japanese-restaurant-57-w-76th-st-new-york/284075?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=284075,False,4acea43cf964a5208ad120e3,57 W 76th St,US,New York,United States,at Columbus Ave,7887,"['57 W 76th St (at Columbus Ave)', 'New York, NY 10023', 'United States']","[{'label': 'display', 'lat': 40.77999142937673, 'lng': -73.97661045826288}]",40.77999142937673,-73.97661045826288,10023,7.5,Raku It's Japanese II,v-1592882895,96183310
30,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bde28866c1b9521ac51ad0f,409 8th Ave,US,New York,United States,31st Street,4260,"['409 8th Ave (31st Street)', 'New York, NY 10001', 'United States']","[{'label': 'display', 'lat': 40.750082040220704, 'lng': -73.99501732393351}]",40.750082040220704,-73.99501732393351,10001,7.2,Ichiban Japanese Restaurant,v-1592882895,
31,"[{'id': '4bf58dd8d48988d116951735', 'name': 'Antique Shop', 'pluralName': 'Antique Shops', 'shortName': 'Antiques', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/antique_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,526450c411d206f2e4407fd0,,US,Brooklyn,United States,,2184,"['Brooklyn, NY', 'United States']","[{'label': 'display', 'lat': 40.700734771075496, 'lng': -73.98551953350095}]",40.700734771075496,-73.98551953350095,,,Japanese Antiques,v-1592882895,
